序号,名字,作品数,粉丝数,关注数,简介,主页链接
173,小辣椒影视解说,38,8.3万,1862,,https://www.kuaishou.com/profile/3xgan5ttkwq8vke
174,冰夏影视解说,553,7.6万,868,菜鸟剪辑师,https://www.kuaishou.com/profile/3xqpexnhk7wviuc
175,小橙子影视解说,227,9.3万,26,定时更新经典影视，谢谢关注支持！,https://www.kuaishou.com/profile/3x5xeydyws44kka
176,海哥说电影（影视解说）,788,8.1万,34,👉解说小白来解说🔥🔥 🌹偶尔广告，只为养家糊口 👉感谢您一路支持和相伴❤️,https://www.kuaishou.com/profile/3xmtg2asssskdd9
177,点点撩影视解说,473,9.8万,645,一部电影/一个人生 用心制作/每日更新 感谢快手官方提供绿色平台 感谢大家关注,https://www.kuaishou.com/profile/3x2adjkai7hupbm
178,伟伟哥影视解说,492,8.4万,321,动作、喜剧类影视解说，不一样的影视，不一样的人生，希望能在辛苦的生活中为您带来一丝快乐。,https://www.kuaishou.com/profile/3xn62p8s52mi9es
179,波波影视解说,28,8.5万,56,学习合作V:bobojianji（注明来意）,https://www.kuaishou.com/profile/3x6umwrketc2s2q
180,一一影视解说,64,10万,21,精彩纷呈源于电影的世界，不加任何机构，,https://www.kuaishou.com/profile/3xxspp5srwyjhbs
181,雨 影视解说,82,9.6万,86,😄感谢官方快手绿色平台 😄看电影一样可以改变人生 😄合作请私信 😄完整版，待定，努力奋斗💪,https://www.kuaishou.com/profile/3xkta53uguf8kva
182,妞妞影视解说,538,9.1万,107,❤️持续更新优质解说视频 ❤️感谢您的点赞和关注,https://www.kuaishou.com/profile/3xtgheszyugnx5i
183,梦乔影视,95,456.1万,1037,🙏感谢关注，感谢喜欢 💕每天持续更新～ 🔗tt19901252 🕣直播时间：20:30-22:30,https://www.kuaishou.com/profile/3xku6setmcnrxuw
184,＠啊龙影视解说,41,12.1万,50,❤️一起交流互相学习影视解说呀 ❤️用心讲电影故事百分百原创 ❤️感谢官方感谢关注 ❤️千部电影品味人生 ❤️每天11：30~17.30准时更新,https://www.kuaishou.com/profile/3x7c3vze47imyh4
185,酷客影视解说,85,14.9万,14,一名资深影视爱好者 商务合作、学习🛰️gao12371gao,https://www.kuaishou.com/profile/3x9mad62yi43ujw
186,浅逆伤影视解说,336,9.3万,259,✨承蒙各位喜爱、 喜欢的朋友们➕关注哦 ✨原创优质作品 精彩视频在剪辑路上 ✨感谢快手，感谢官方,https://www.kuaishou.com/profile/3x9rgjcp7pa29vc
187,陆玖影视解说,118,10万,18,在光影交错中，细说人生悲欢； 用心解读，每一帧情绪，每一段故事。,https://www.kuaishou.com/profile/3xpgkpha7nxrvpg
188,阿Q影视解说,0,8.8万,16,,https://www.kuaishou.com/profile/3x6ynzty4u4i2j2
189,轻舟影视解说,160,8万,416,好剧剪辑 感谢快手平台,https://www.kuaishou.com/profile/3xd59zermuh543c
190,影视,2,3,3,,https://www.kuaishou.com/profile/3x8hg4v33i7uns4
191,米米影视解说,8,7.7万,14,,https://www.kuaishou.com/profile/3ximu7vk4u6pqt4
192,宝泽影视解说,43,8.6万,63,每晚7点播剧：影视剪辑爱好者 每日更新经典推荐 只做精品来了别走 =？感谢快手=？感谢官方,https://www.kuaishou.com/profile/3xh7j9hy6qgpbhy
193,萌弟影视解说,253,7.4万,3,其他平台同名账号 本账号下所用视频禁止搬运，二传二改！！！ 持续更新，喜欢点点关注✨,https://www.kuaishou.com/profile/3xpw36mskxtmrg4
194,小趴菜影视解说,10,18,3,感谢关注！,https://www.kuaishou.com/profile/3xr3vh5qywn5ccy
195,小英影视解说,43,8.7万,1160,兴趣爱好兴趣爱好:美食,https://www.kuaishou.com/profile/3xn9wfg3u2dqvtk
196,影视,0,32,68,,https://www.kuaishou.com/profile/3xztwsa7nqu5sak
197,玲儿影视解说99,60,7.2万,107,一枚努力生活的90后小姐姐 每天都是努力生活的样子 感谢您的关注🙏🏻,https://www.kuaishou.com/profile/3x74eufma75crkg
198,大毛毛影视解说,0,8.3万,3,,https://www.kuaishou.com/profile/3x2aw4ui4862bpe
199,村草影视解说,0,57,82,点单可以私聊,https://www.kuaishou.com/profile/3xyawewzupacqwg
200,小飞影视解说,48,233,16,我是一名电影爱好者，平常喜欢看电影，俗话说得好独乐乐不如众乐乐，我会把好看的电影推荐给大家，希望大家都能快乐😁,https://www.kuaishou.com/profile/3xmucgzhtap7tu2
201,豆仔影视解说,328,1.1万,38,🙏🏻感谢快手官方提供平台！ 🎦一段电影，一段故事，一段人生。 ❤️用心分享每一部电影，我们与您一起共度。 🔥最新最好看热播热剧，陪您一起看电影。,https://www.kuaishou.com/profile/3xvjgrdxh5qte8s
202,小雅影视解说,318,7.4万,37,原创影视解说，感谢关注,https://www.kuaishou.com/profile/3xxnb922qcx72ag
203,影视,2,576,764,来这里吧,https://www.kuaishou.com/profile/3xw37mz7f6jgaps
204,阿杰（高清影视解说）,238,7.3万,308,原创高清影视解说，每日分享！ 带给大家最美的体验！,https://www.kuaishou.com/profile/3xd4rfzrwwenegy
205,影视,1,292,57,续上的弦，已无法弹出过去的乐章。,https://www.kuaishou.com/profile/3xzgcm67daj3nnu
206,影视,58,150,30,感谢快手官方，感谢平台给予这次一起交流的机会！,https://www.kuaishou.com/profile/3xiia77255zxd2w
207,叶辉影视解说,141,7.9万,107,感谢快手官方。 感谢大家的关注。 精彩影视剧每日更新。,https://www.kuaishou.com/profile/3xvvxdt5byc4zym
208,影视,4,449,905,兴趣爱好：,https://www.kuaishou.com/profile/3x92djw5dqcxvei
209,影视,2,4,1,,https://www.kuaishou.com/profile/3x4enprry8h3ptg
210,梁影视解说,0,48,7,有想剪辑的。 可以私信我。,https://www.kuaishou.com/profile/3x8nueeyj537vyk
211,小义影视解说,142,9.3万,494,,https://www.kuaishou.com/profile/3xzdxy4w3vpjknw
212,灰神话影视解说,15,241,107,从头再来 感谢官方大大. 谢谢你的关注. 取错私 没回=上限,https://www.kuaishou.com/profile/3x6zrzwdmbbuu7w
213,影视,95,1908,11,,https://www.kuaishou.com/profile/3xefeubk9jnwb8g
214,小小凡影视解说,116,9.2万,120,每日更新精彩影视！ 每日最少一更呦！ 点赞越多更新越快！ 现在关注就是老粉了哟！       感谢观看！,https://www.kuaishou.com/profile/3xn7exv7u2273ms
215,影视,2,2,2,,https://www.kuaishou.com/profile/3xv8wxdzw6nh4yy
216,影视,421,626,94,各类电影、综艺、电视剧视频剪辑,https://www.kuaishou.com/profile/3xiunpm6y4aby2i
217,爱影视解说153526,71,1901,68,"""光影解局：深剖好片肌理，趣说藏在剧情里的春秋""",https://www.kuaishou.com/profile/3x4a2n9a9pitq5q
218,云海影视解说,8,9,1,,https://www.kuaishou.com/profile/3x5kf52v38gbv2e
219,影视,0,3,7,,https://www.kuaishou.com/profile/3xc6h5hfmvj74je
220,影视,0,6,36,每天不定时更新短剧 感谢快手官方 感谢关注,https://www.kuaishou.com/profile/3x3sxgprcj7yteu
221,影视解说小帅,2,5,69,初中自媒体影视解说 新人创作不易，请多多关注,https://www.kuaishou.com/profile/3xc2jjicere9qbu
222,KT猫影视解说,1,9,4,,https://www.kuaishou.com/profile/3x6m5j3cdq57jpq
223,（影视）,72,581,79,"我是一个95后的农村女孩，感谢在快手上的每一个人，有你们的陪伴我真的很幸运！     遇见就是你们就是一件幸福的事情！     2022，2,11我慢慢开始学会剪影视频，虽然不是很好但我会继续努力，不让朋友们对我失望，很谢谢你们的一路陪伴",https://www.kuaishou.com/profile/3xksx42yrrkikzq
224,影视,0,1,2,,https://www.kuaishou.com/profile/3xkvqvevzpq7hiw
225,影视,1,142,125,遇事不决   可问春风￼,https://www.kuaishou.com/profile/3xdqanigzddex2k
226,皮皮猫影视,2887,379.5万,183,商务：Atutuvideo,https://www.kuaishou.com/profile/3xmyg5xq5e47bqw
227,老表影视解说,0,10,7,感谢快手 感谢大家的喜欢和支持 每天持续更新,https://www.kuaishou.com/profile/3xyw8etvvwtq9qq
228,开发区，小伟影视解说,168,55,151,影视解说,https://www.kuaishou.com/profile/3xr5fsha9tgf4bm
229,影视,0,7,13,影视好评,https://www.kuaishou.com/profile/3xi8iiuauyp9ekc
230,小新，影视解说,25,937,7029,蜡笔小新，下饭神剧，持续更新中，喜欢的点点关注,https://www.kuaishou.com/profile/3xsyy86m56psv2q
231,影视,1,86,147,,https://www.kuaishou.com/profile/3xzgznchss9ezqi
232,影视,3,14,3,,https://www.kuaishou.com/profile/3xtygw25g3er6cq
233,影视,0,27,826,,https://www.kuaishou.com/profile/3x4hqsgyt589bzy
234,影视,0,14,14,,https://www.kuaishou.com/profile/3xxd76iwiyht78w
235,影视,2,29,20,,https://www.kuaishou.com/profile/3x94v8q8r2ugwg9
236,影视,0,2,0,,https://www.kuaishou.com/profile/3xp6az6ctg45znq
237,影视,4,16,21,,https://www.kuaishou.com/profile/3xyichd5a42qfpk
238,影视,0,5,1,点关注，私主播，领教程,https://www.kuaishou.com/profile/3xzusw42yktu6vk
239,影视,0,3,1,,https://www.kuaishou.com/profile/3xcxcvfmwi6xtsm
240,影视,0,1,1,,https://www.kuaishou.com/profile/3xycegmaj2uvmhe
241,只关注影视解说,0,28,55,,https://www.kuaishou.com/profile/3xrjfnvxszdt8ea
242,小王影视解说,0,1,3,我是一位热爱影视的资深解说员，分享影视背后的故事，关注我带你解锁更多影视深度内容,https://www.kuaishou.com/profile/3xrighaev5udhuy
243,小李同学影视解说,154,123,26,关注我看更多韩剧。♥️￼    每晚两集更新。,https://www.kuaishou.com/profile/3xhn3tjnj2f8fiu
244,＠秀姐影视解说,183,1262,2477,谢谢你的关注,https://www.kuaishou.com/profile/3xaq8a45s53tv54
245,阿维影视解说,10,9,1,每天下午6点准时更新 谢谢哥哥姐姐们的点赞关注,https://www.kuaishou.com/profile/3x8ukju32iyytn2
246,小z的海（影视解说）,0,2,4,带你康好康的😋,https://www.kuaishou.com/profile/3xzdtnh4rtamta4
247,志刚影视解说,0,1,3,,https://www.kuaishou.com/profile/3xbwkeaztc47byg
248,影视,8,7,3,,https://www.kuaishou.com/profile/3xsiysi2k59azzq
249,初心影视,192,327.5万,75,爱看剧  爱分享 感谢官方  感谢关注 合 :z1368023341,https://www.kuaishou.com/profile/3x2kgpe4gmnurs4
250,落花影视,550,452.2万,60,🍀感谢快手官方 感谢关注 🍀点视频左下角可看完整版 作品均原创剪辑 🍀发现搬运我作品者，一律处理 🍀合作/学习：+ xcm88998,https://www.kuaishou.com/profile/3xiw5g8dahduzj6
251,墨山影视,24,451.9万,3,墨山传媒官方账号 原创自制精品短剧、中剧、品牌、个人定制剧 代表作《四海》、《不忠》、《软饭之王》、《我生了个小财神爷》、《非爱勿扰》、《断了线的纸鸢》、等  商务合作联系方式：181 0017 2098,https://www.kuaishou.com/profile/3x9q7yfcx9jnk7i
252,灏灏影视,2594,476.6万,189,感谢快手官方提供的短视频平台！ 所有作品左下角链接可观看完整版全集！,https://www.kuaishou.com/profile/3xckcpg7a4u5ida
253,玲姐讲影视,611,356万,170,♥坚持原创 用心剪辑每个视频 感谢快手官方提供绿色平台支持快手传播正能量  再次感谢快手官 大大给了每一次热门,https://www.kuaishou.com/profile/3xxzawv4pf9c76s
254,𫳀㘞𫭣𠨬影视,79,42,73,爱追剧        爱生活❤️ 感谢快手    感谢点赞❤️ 每日更新     感谢关注❤️,https://www.kuaishou.com/profile/3xfsddhrg9ei49q
255,解说小影视,26,32,8,,https://www.kuaishou.com/profile/3xbmjf79jr646za
256,小妮影视,84,383.1万,32,感谢官方 感谢关注,https://www.kuaishou.com/profile/3x3e4bcx65pp54k
257,胖哥 影视 卪解說,2,390,462,啥也不是,https://www.kuaishou.com/profile/3xr55zrfk36gfym
258,火原影视,2627,2.7万,382,每天更新不一样的影视作品！希望家人们给与点赞和评论！谢谢！,https://www.kuaishou.com/profile/3xerpje28iiymms
259,影视信号源,0,95,858,生活的小确幸，尽在平凡中的美好。,https://www.kuaishou.com/profile/3x9pkypuy3d57z6
260,僵约影视,0,2,1,兴趣爱好:521sf.vip 新开传奇:画★江湖合击 合击版本，免费白嫖全货币。 自动拾取，回收，挂机。,https://www.kuaishou.com/profile/3x3xvpputffusim
261,韩兆导演（条子哥）,996,1762.5万,799,梦想驱动笑容满满,https://www.kuaishou.com/profile/3xyfuhb6yvxxj6s
262,黄渤,300,1858.5万,25,这是我唯一快手号，没有小号,https://www.kuaishou.com/profile/3xpudxf83uqk3he
263,娄艺潇,302,523万,5,演员、歌手、音乐剧演员，商务合作请发短信18500903996（非工作请勿打扰，谢谢）,https://www.kuaishou.com/profile/3xik7bbpmkc3rca
264,papi酱,272,495万,4,一个集美貌与才华于一身的女子。 商业合作邮箱：papijiang@papitube.com 【请备注papi+品牌信息】,https://www.kuaishou.com/profile/3xsx74sidgkz2bq
265,辰亦儒,355,140.2万,1,运动、保养、美食、健康生活。 工作联系微信号：chedobby,https://www.kuaishou.com/profile/3xb9hspp2kw2xrg
266,潘长江,408,2222.7万,81,刮风不一定下雨～下雨不一定打雷～得到的不一定是福～失去的不一定是亏～平平淡淡才是真～实实在在就是美～本本分分心无愧~潇潇洒洒活一回～,https://www.kuaishou.com/profile/3xn8rys8t6jvq9e
267,冯提莫,255,291.4万,2,冯提莫官方快手号～ 商务邮箱:1323128302@qq.com,https://www.kuaishou.com/profile/3xuiv29rs3prshg
268,迪丽热巴,124,2417.1万,1,,https://www.kuaishou.com/profile/3xbq6yti455eg54
269,张予曦,273,646.9万,8,女演员,https://www.kuaishou.com/profile/3xjae2nabfnu37g
270,ACE-TAO黄子韬,76,3029.7万,7,永恒星龙集团董事长,https://www.kuaishou.com/profile/3xnmwxcy8snpriy
271,何泓姗VivaHo,248,143.1万,6,代表作：电视剧《匆匆那年》《如懿传》《流金岁月》《锦心似玉》等,https://www.kuaishou.com/profile/3x9yffwm9g6v7hu
272,岳云鹏,210,1603万,12,相声演员，作品《白蛇传》《学歌曲》《金龟铁甲》等。,https://www.kuaishou.com/profile/3x93e8nukgdxbyc
273,黄景瑜,120,930.6万,7,🐳,https://www.kuaishou.com/profile/3xx2bz7rdfgsvrm
274,谢广坤,651,1476.8万,1802,商v：xgk              0888  号：158402         55550,https://www.kuaishou.com/profile/3xdk9w3pcrfwx54
275,杨迪,249,724.2万,56,大家好我是杨迪，原来我已经来快手这么久啦？重新玩起来！ 工作联系：yangdijob@163.com,https://www.kuaishou.com/profile/3x2ie2gpyqv8wbm
